ID;NAME;ROOM;TYPE;PRICE;IN_DATE;OUT_DATE;STATE
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
123;Majetok1;Room1;0;12.15;2010-01-01;null;V
654;Majetok15;Room19;0;120.15;2010-01-01;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
123;Majetok1;Room1;0;12.15;2010-01-01;null;V
654;Majetok15;Room19;0;120.15;2010-01-01;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
123;Majetok1;Room1;0;12.15;2010-01-01;null;V
654;Majetok15;Room19;0;120.15;2010-01-01;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
123;Majetok1;Room1;0;12.15;2010-01-01;null;V
654;Majetok15;Room19;0;120.15;2010-01-01;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
123;Majetok1;Room1;0;12.15;2010-01-01;null;V
654;Majetok15;Room19;0;120.15;2010-01-01;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
123;Majetok1;Room1;0;12.15;2010-01-01;null;V
654;Majetok15;Room19;0;120.15;2010-01-01;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
123;Majetok1;Room1;0;12.15;2010-01-01;null;V
654;Majetok15;Room19;0;120.15;2010-01-01;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
123;Majetok1;Room1;0;12.15;2010-01-01;null;V
654;Majetok15;Room19;0;120.15;2010-01-01;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
123;Majetok1;Room1;0;12.15;2010-01-01;null;V
654;Majetok15;Room19;0;120.15;2010-01-01;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
123;Majetok1;Room1;0;12.15;2010-01-01;null;V
654;Majetok15;Room19;0;120.15;2010-01-01;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
123;Majetok1;Room1;0;12.15;2010-01-01;null;V
654;Majetok15;Room19;0;120.15;2010-01-01;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
123;Majetok1;Room1;0;12.15;2010-01-01;null;V
654;Majetok15;Room19;0;120.15;2010-01-01;null;V
30;Majetok3100;Room125;1;112.2;2010-08-31;null;V
888;Majetok3100;Room125;1;112.2;2010-08-31;null;V
123;Majetok1;Room1;0;12.15;2010-01-01;null;V
654;Majetok15;Room19;0;120.15;2010-01-01;null;V
